[DEBUG] 2020-04-06 20:30:16.080 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-06 20:30:16.104 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-06 20:30:16.122 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-06 20:30:16.468 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-06 20:30:16.481 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-06 20:30:17.672 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-06 20:30:17.680 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-06 20:30:17.713 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-06 20:30:19.566 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-06 20:30:19.695 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-06 20:30:19.705 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-06 20:30:19.833 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-06 20:30:20.000 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@46a953cf
[DEBUG] 2020-04-06 20:30:20.008 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@46a953cf
[DEBUG] 2020-04-06 20:30:20.009 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@46a953cf
[DEBUG] 2020-04-06 20:30:20.010 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2c58dcb1
[DEBUG] 2020-04-06 20:30:20.020 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2dd8239
[DEBUG] 2020-04-06 20:30:20.026 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2e53b094
[DEBUG] 2020-04-06 20:30:20.029 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6c302a1d
[DEBUG] 2020-04-06 20:30:20.030 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6c302a1d
[DEBUG] 2020-04-06 20:30:20.030 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6c302a1d
[DEBUG] 2020-04-06 20:30:20.043 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@16eedaa6
[DEBUG] 2020-04-06 20:30:20.047 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@16eedaa6
[DEBUG] 2020-04-06 20:30:20.047 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@16eedaa6
[DEBUG] 2020-04-06 20:30:20.056 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6e33fcae
[DEBUG] 2020-04-06 20:30:20.056 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6e33fcae
[DEBUG] 2020-04-06 20:30:20.056 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@6e33fcae
[DEBUG] 2020-04-06 20:30:20.072 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@27e5b378
[DEBUG] 2020-04-06 20:30:20.075 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@27e5b378
[DEBUG] 2020-04-06 20:30:20.076 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@27e5b378
[DEBUG] 2020-04-06 20:30:20.089 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1a87b51
[DEBUG] 2020-04-06 20:30:20.089 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1a87b51
[DEBUG] 2020-04-06 20:30:20.089 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1a87b51
[DEBUG] 2020-04-06 20:30:20.091 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@11b455e5
[DEBUG] 2020-04-06 20:30:20.091 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@11b455e5
[DEBUG] 2020-04-06 20:30:20.092 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@11b455e5
[DEBUG] 2020-04-06 20:30:20.096 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@64524dd
[DEBUG] 2020-04-06 20:30:20.128 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@64524dd
[DEBUG] 2020-04-06 20:30:20.129 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@64524dd
[DEBUG] 2020-04-06 20:30:20.131 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@70f822e
[DEBUG] 2020-04-06 20:30:20.132 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@70f822e
[DEBUG] 2020-04-06 20:30:20.133 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1aa6e3c0
[DEBUG] 2020-04-06 20:30:20.134 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1aa6e3c0
[DEBUG] 2020-04-06 20:30:20.154 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2caa5d7c
[DEBUG] 2020-04-06 20:30:20.155 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2caa5d7c
[DEBUG] 2020-04-06 20:30:20.156 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@38fc5554
[DEBUG] 2020-04-06 20:30:20.156 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3e1a3801
[DEBUG] 2020-04-06 20:30:20.157 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@61a1ea2c
[DEBUG] 2020-04-06 20:30:20.158 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@61a1ea2c
[DEBUG] 2020-04-06 20:30:20.172 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@670d4d38
[DEBUG] 2020-04-06 20:30:20.172 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@670d4d38
[DEBUG] 2020-04-06 20:30:20.197 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@2903c6ff
[DEBUG] 2020-04-06 20:30:20.203 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@2903c6ff
[DEBUG] 2020-04-06 20:30:20.217 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@d8d9199
[DEBUG] 2020-04-06 20:30:20.218 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@d8d9199
[DEBUG] 2020-04-06 20:30:20.228 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@b835727
[DEBUG] 2020-04-06 20:30:20.231 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@b835727
[DEBUG] 2020-04-06 20:30:20.233 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@319c3a25
[DEBUG] 2020-04-06 20:30:20.233 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@319c3a25
[DEBUG] 2020-04-06 20:30:20.256 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@199bc830
[DEBUG] 2020-04-06 20:30:20.257 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@199bc830
[DEBUG] 2020-04-06 20:30:20.283 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@161f6623
